Date,petr,vale
2023-07-03 00:00:00-03:00,27.988203790771372,63.917972061418986
2023-07-04 00:00:00-03:00,28.182950538222048,63.87952086350481
2023-07-05 00:00:00-03:00,28.33133052423425,63.30282464466179
2023-07-06 00:00:00-03:00,27.821274547625467,63.04330066034243
2023-07-07 00:00:00-03:00,28.006749669933924,63.05291378146877
2023-07-10 00:00:00-03:00,27.515241339065806,62.658839192375154
2023-07-11 00:00:00-03:00,27.385408562384647,64.40816987681386
2023-07-12 00:00:00-03:00,27.60797764566304,65.43663134507754
2023-07-13 00:00:00-03:00,27.56160956719584,66.12867004102348
2023-07-14 00:00:00-03:00,27.431775454857643,66.59964250638289
2023-07-17 00:00:00-03:00,26.97736241583437,65.6769193147075
2023-07-18 00:00:00-03:00,27.079374025411184,65.61924122568816
